Seed,Condition,V_T_step,V_T,DC,EC,R
0,C0,0.14,6.89,10603,10309,1.0360378893011166
0,C0,0.15,7.375,11278,10923,1.0284224119964083
0,C0,0.16,7.86,11907,11481,1.0168026342082173
0,C0,0.17,8.345,12462,12024,1.0212900084648782
0,C0,0.18,8.83,12952,12466,1.0134498801624539
0,C0,0.19,9.315,13420,12910,1.0128133834208022
0,C0,0.2,9.8,13856,13313,1.007999330246724
0,C0,0.21,10.285,14144,13553,0.9933763544789552
0,C0,0.22,10.77,14515,13925,1.0000796183518676
0,C0,0.23,11.255,14804,14216,1.0071655637510188
0,C0,0.24,11.74,15056,14488,1.0254219012607015
0,C0,0.25,12.225,15279,14692,1.0216462633876895
0,C0,0.26,12.71,15509,14900,1.015229093935506
0,C0,0.27,13.195,15654,15024,1.0049196221225172
0,C0,0.28,13.68,15846,15219,1.0149841726618705
0,C0,0.29,14.165,15997,15359,1.0120157664697267
0,C0,0.3,14.65,16143,15515,1.031618484220757
0,C0,0.31,15.135,16257,15622,1.0324147716152279
0,C0,0.32,15.62,16386,15727,1.010229543134416
0,C0,0.33,16.105,16464,15806,1.0179546177445338
0,C0,0.34,16.59,16530,15872,1.0245281661382126
0,C0,0.35,17.075,16614,15939,1.0010047220916207
0,C0,0.36,17.56,16682,16008,1.0095545070335725
0,C0,0.37,18.045,16740,16066,1.0168927191820012
0,C0,0.38,18.53,16782,16123,1.0690223078263732
0,C0,0.39,19.015,16832,16174,1.0912003770058645
0,C0,0.4,19.5,16873,16220,1.1350278730044934
0,C0,0.41,19.985,16901,16257,1.2069069263513492
0,C0,0.42,20.47,16935,16285,1.2124748077688348
0,C0,0.43,20.955,16957,16307,1.2466063397831988
0,C0,0.44,21.44,16987,16332,1.2632072873244848
0,C0,0.45,21.925,17004,16339,1.2048101804100393
0,C0,0.46,22.41,17018,16352,1.2236656411059985
0,C0,0.47,22.895,17027,16358,1.211705627045969
0,C0,0.48,23.38,17043,16369,1.1909616851493283
0,C0,0.49,23.865,17052,16381,1.2553945951421321
0,C0,0.5,24.35,17062,16386,1.2149382902610324
0,C0,0.51,24.835,17068,16391,1.2188868958554921
0,C0,0.52,25.32,17077,16395,1.1676444846790928
0,C0,0.53,25.805,17084,16403,1.2074464499833266
0,C0,0.54,26.29,17088,16403,1.1489872389626603
0,C1,0.14,6.89,6564,6160,0.9652156647230085
0,C1,0.15,7.375,5889,5546,0.9723630954898836
0,C1,0.16,7.86,5260,4988,0.9834750288375272
0,C1,0.17,8.345,4705,4445,0.9791538071572053
0,C1,0.18,8.83,4215,4003,0.98672861833059
0,C1,0.19,9.315,3747,3559,0.9873487222517492
0,C1,0.2,9.8,3311,3156,0.9920641512283882
0,C1,0.21,10.285,3023,2916,1.0066678107357598
0,C1,0.22,10.77,2652,2544,0.9999203879867097
0,C1,0.23,11.255,2363,2253,0.9928854162523866
0,C1,0.24,11.74,2111,1981,0.9752083496271665
0,C1,0.25,12.225,1888,1777,0.9788123696396517
0,C1,0.26,12.71,1658,1569,0.9849993523368497
0,C1,0.27,13.195,1513,1445,0.9951044620741645
0,C1,0.28,13.68,1321,1250,0.985237038108118
0,C1,0.29,14.165,1170,1110,0.9881268979517563
0,C1,0.3,14.65,1024,954,0.969350603246858
0,C1,0.31,15.135,910,847,0.9686029563830102
0,C1,0.32,15.62,781,742,0.9898740408019776
0,C1,0.33,16.105,703,663,0.982362064642611
0,C1,0.34,16.59,637,597,0.9760590611865093
0,C1,0.35,17.075,553,530,0.9989962863616453
0,C1,0.36,17.56,485,461,0.9905359176082061
0,C1,0.37,18.045,427,403,0.9833879042859214
0,C1,0.38,18.53,385,346,0.9354341744591698
0,C1,0.39,19.015,335,295,0.9164219707693756
0,C1,0.4,19.5,294,249,0.8810356325020762
0,C1,0.41,19.985,266,212,0.8285643061334828
0,C1,0.42,20.47,232,184,0.8247594041480949
0,C1,0.43,20.955,210,162,0.802177855259354
0,C1,0.44,21.44,180,137,0.791635711758783
0,C1,0.45,21.925,163,130,0.8300062667628396
0,C1,0.46,22.41,149,117,0.8172167023470231
0,C1,0.47,22.895,140,111,0.8252829546049988
0,C1,0.48,23.38,124,100,0.8396575746050263
0,C1,0.49,23.865,115,88,0.7965622951298297
0,C1,0.5,24.35,105,83,0.8230870720068816
0,C1,0.51,24.835,99,78,0.8204206669217955
0,C1,0.52,25.32,90,74,0.8564250618413473
0,C1,0.53,25.805,83,66,0.8281940785148765
0,C1,0.54,26.29,79,66,0.870331685235103
0,C2,0.14,6.89,4109,3769,0.9431112805958881
0,C2,0.15,7.375,3895,3606,0.9552397004593787
0,C2,0.16,7.86,3672,3411,0.9600089269893898
0,C2,0.17,8.345,3459,3192,0.9527664617179308
0,C2,0.18,8.83,3218,2955,0.947830337399339
0,C2,0.19,9.315,2959,2716,0.9482444421416844
0,C2,0.2,9.8,2688,2464,0.9476913007259312
0,C2,0.21,10.285,2485,2288,0.9532525808542816
0,C2,0.22,10.77,2248,2065,0.9514376875838166
0,C2,0.23,11.255,2036,1858,0.9450518280290209
0,C2,0.24,11.74,1843,1665,0.9351514885844964
0,C2,0.25,12.225,1668,1493,0.926342539750251
0,C2,0.26,12.71,1490,1329,0.9235827134662611
0,C2,0.27,13.195,1372,1215,0.9169761809835474
0,C2,0.28,13.68,1218,1094,0.9317263273125342
0,C2,0.29,14.165,1086,955,0.911512882916185
0,C2,0.3,14.65,954,839,0.9122586516549505
0,C2,0.31,15.135,856,764,0.9269626614537307
0,C2,0.32,15.62,741,666,0.934218147991682
0,C2,0.33,16.105,672,601,0.9296839363738941
0,C2,0.34,16.59,614,561,0.9507265514493353
0,C2,0.35,17.075,535,508,0.9894510392446073
0,C2,0.36,17.56,471,443,0.9798737349047713
0,C2,0.37,18.045,417,386,0.964048757263542
0,C2,0.38,18.53,377,342,0.9444562959229945
0,C2,0.39,19.015,328,299,0.9493003077062311
0,C2,0.4,19.5,289,253,0.9111710762833239
0,C2,0.41,19.985,263,226,0.8942849672125507
0,C2,0.42,20.47,229,193,0.8770740748292821
0,C2,0.43,20.955,207,186,0.935909862424312
0,C2,0.44,21.44,179,155,0.9016966611259617
0,C2,0.45,21.925,162,141,0.9064581178434682
0,C2,0.46,22.41,148,128,0.9007487384575691
0,C2,0.47,22.895,139,126,0.9444687779116486
0,C2,0.48,23.38,124,118,0.9918866558422983
0,C2,0.49,23.865,115,104,0.9423121986211294
0,C2,0.5,24.35,105,96,0.9527602062629241
0,C2,0.51,24.835,99,86,0.9050080861104484
0,C2,0.52,25.32,90,75,0.8680513195884674
0,C2,0.53,25.805,83,70,0.8786019129876419
0,C2,0.54,26.29,79,67,0.883572395462733
0,C3,0.14,6.89,4109,3912,0.9900416718406074
0,C3,0.15,7.375,3895,3695,0.9856357375469629
0,C3,0.16,7.86,3672,3549,1.009517151803962
0,C3,0.17,8.345,3459,3335,1.0062881536032198
0,C3,0.18,8.83,3218,3137,1.0199438138344599
0,C3,0.19,9.315,2959,2886,1.0202077288975493
0,C3,0.2,9.8,2688,2624,1.0208928786393576
0,C3,0.21,10.285,2485,2465,1.0399767930634363
0,C3,0.22,10.77,2248,2200,1.0232283159196616
0,C3,0.23,11.255,2036,1968,1.0085954372904842
0,C3,0.24,11.74,1843,1759,0.9942600163110054
0,C3,0.25,12.225,1668,1596,0.9971074038368982
