Seed,Condition,V_T_step,V_T,DC,EC,R
REAL,C0,0.14,6.89,10603,9983,0.9528486823628626
REAL,C0,0.15,7.375,11278,10624,0.949102266674818
REAL,C0,0.16,7.86,11907,11216,0.9432221488219724
REAL,C0,0.17,8.345,12462,11830,0.962791512194052
REAL,C0,0.18,8.83,12952,12277,0.9530851987550037
REAL,C0,0.19,9.315,13420,12830,0.9844094588800169
REAL,C0,0.2,9.8,13856,13290,0.9989776205279014
REAL,C0,0.21,10.285,14144,13604,1.0148641151990396
REAL,C0,0.22,10.77,14515,13965,1.0189739819664356
REAL,C0,0.23,11.255,14804,14259,1.0298677072724627
REAL,C0,0.24,11.74,15056,14497,1.0307417217775747
REAL,C0,0.25,12.225,15279,14705,1.030086053227059
REAL,C0,0.26,12.71,15509,14935,1.0408319079227497
REAL,C0,0.27,13.195,15654,15076,1.0460407680043615
REAL,C0,0.28,13.68,15846,15241,1.034661435946391
REAL,C0,0.29,14.165,15997,15389,1.0421589464691294
REAL,C0,0.3,14.65,16143,15541,1.0622988078530888
REAL,C0,0.31,15.135,16257,15642,1.0587361902107615
REAL,C0,0.32,15.62,16386,15742,1.0320567545918942
REAL,C0,0.33,16.105,16464,15805,1.016357247503132
REAL,C0,0.34,16.59,16530,15874,1.0281014910501405
REAL,C0,0.35,17.075,16614,15956,1.0352794362348765
REAL,C0,0.36,17.56,16682,16025,1.0493217861189328
REAL,C0,0.37,18.045,16740,16077,1.0461437532002047
REAL,C0,0.38,18.53,16782,16118,1.0534672714389077
REAL,C0,0.39,19.015,16832,16153,1.017361257339847
REAL,C0,0.4,19.5,16873,16185,0.9930003180345631
REAL,C0,0.41,19.985,16901,16216,1.0087706763848903
REAL,C0,0.42,20.47,16935,16262,1.0762332247910096
REAL,C0,0.43,20.955,16957,16283,1.0841559390260374
REAL,C0,0.44,21.44,16987,16313,1.108064538040402
REAL,C0,0.45,21.925,17004,16322,1.0643698081443822
REAL,C0,0.46,22.41,17018,16334,1.059342830902356
REAL,C0,0.47,22.895,17027,16339,1.033408477937755
REAL,C0,0.48,23.38,17043,16350,0.9996464701000977
REAL,C0,0.49,23.865,17052,16366,1.0715879924115612
REAL,C0,0.5,24.35,17062,16375,1.0720445085133816
REAL,C0,0.51,24.835,17068,16384,1.1180303009415624
REAL,C0,0.52,25.32,17077,16394,1.152005621596299
REAL,C0,0.53,25.805,17084,16397,1.106421050235438
REAL,C0,0.54,26.29,17088,16400,1.0988302665146827
