Condition,V_T_step,V_T,R_real,p_one_sided_high_R,p_two_sided_away_from_1
C0,0.14,6.89,0.9528486823628626,0.9563,0.0965
C0,0.15,7.375,0.949102266674818,0.9665,0.0781
C0,0.16,7.86,0.9432221488219724,0.9761,0.053
C0,0.17,8.345,0.962791512194052,0.8937,0.2233
C0,0.18,8.83,0.9530851987550037,0.9374,0.1342
C0,0.19,9.315,0.9844094588800169,0.6978,0.6314
C0,0.2,9.8,0.9989776205279014,0.5232,0.978
C0,0.21,10.285,1.0148641151990396,0.3532,0.68
C0,0.22,10.77,1.0189739819664356,0.316,0.6065
C0,0.23,11.255,1.0298677072724627,0.2299,0.4368
C0,0.24,11.74,1.0307417217775747,0.2331,0.4443
C0,0.25,12.225,1.030086053227059,0.249,0.4683
C0,0.26,12.71,1.0408319079227497,0.1856,0.3498
C0,0.27,13.195,1.0460407680043615,0.1616,0.3054
C0,0.28,13.68,1.034661435946391,0.2431,0.4525
C0,0.29,14.165,1.0421589464691294,0.2066,0.3882
C0,0.3,14.65,1.0622988078530888,0.1187,0.2248
C0,0.31,15.135,1.0587361902107615,0.1518,0.2767
C0,0.32,15.62,1.0320567545918942,0.3164,0.5793
C0,0.33,16.105,1.016357247503132,0.4273,0.7841
C0,0.34,16.59,1.0281014910501405,0.3575,0.6506
C0,0.35,17.075,1.0352794362348765,0.3326,0.5926
C0,0.36,17.56,1.0493217861189328,0.2727,0.4793
C0,0.37,18.045,1.0461437532002047,0.2994,0.5321
C0,0.38,18.53,1.0534672714389077,0.2754,0.4801
C0,0.39,19.015,1.017361257339847,0.4592,0.8453
C0,0.4,19.5,0.9930003180345631,0.5824,0.9482
C0,0.41,19.985,1.0087706763848903,0.5026,0.9272
C0,0.42,20.47,1.0762332247910096,0.2524,0.4305
C0,0.43,20.955,1.0841559390260374,0.2358,0.3974
C0,0.44,21.44,1.108064538040402,0.1878,0.297
C0,0.45,21.925,1.0643698081443822,0.3179,0.5496
C0,0.46,22.41,1.059342830902356,0.352,0.6195
C0,0.47,22.895,1.033408477937755,0.443,0.798
C0,0.48,23.38,0.9996464701000977,0.5555,1.0
C0,0.49,23.865,1.0715879924115612,0.3418,0.5966
C0,0.5,24.35,1.0720445085133816,0.3476,0.5988
C0,0.51,24.835,1.1180303009415624,0.2482,0.401
C0,0.52,25.32,1.152005621596299,0.192,0.2959
C0,0.53,25.805,1.106421050235438,0.2938,0.4768
C0,0.54,26.29,1.0988302665146827,0.3208,0.5249
C1,0.14,6.89,1.049484580825795,0.0445,0.0806
C1,0.15,7.375,1.0536272381937326,0.0355,0.0618
C1,0.16,7.86,1.0601956296816606,0.0245,0.0417
C1,0.17,8.345,1.0386464643016593,0.1086,0.2033
C1,0.18,8.83,1.0492241420874862,0.0641,0.114
C1,0.19,9.315,1.0158374556231111,0.3053,0.6232
C1,0.2,9.8,1.0010234258016293,0.4815,0.978
C1,0.21,10.285,0.9853535907158127,0.6515,0.6874
C1,0.22,10.77,0.9813793263594236,0.6879,0.6112
C1,0.23,11.255,0.9709985010098381,0.7741,0.4472
C1,0.24,11.74,0.9701751455984932,0.7711,0.4587
C1,0.25,12.225,0.9707926797641756,0.7574,0.4797
C1,0.26,12.71,0.9607699306564877,0.8205,0.3694
C1,0.27,13.195,0.9559856848675238,0.8448,0.3238
C1,0.28,13.68,0.9664997314656009,0.7654,0.4643
C1,0.29,14.165,0.959546529239167,0.7997,0.4054
C1,0.3,14.65,0.9413547229907985,0.886,0.2465
C1,0.31,15.135,0.9445223552818489,0.8532,0.3056
C1,0.32,15.62,0.9689389614967732,0.6909,0.587
C1,0.33,16.105,0.983906005941005,0.5838,0.7933
C1,0.34,16.59,0.9726666177466228,0.652,0.6591
C1,0.35,17.075,0.9659227885727342,0.6759,0.6083
C1,0.36,17.56,0.9529965099634913,0.7391,0.496
C1,0.37,18.045,0.9558915750736466,0.7137,0.5425
C1,0.38,18.53,0.9492463858266067,0.7403,0.4996
C1,0.39,19.015,0.9829350123030609,0.5589,0.8453
C1,0.4,19.5,1.0070490228837905,0.438,0.9482
C1,0.41,19.985,0.9913055795631159,0.5151,0.9272
C1,0.42,20.47,0.9291666313258325,0.7656,0.4527
C1,0.43,20.955,0.9223765364402838,0.7827,0.4346
C1,0.44,21.44,0.9024745090827357,0.8293,0.3439
C1,0.45,21.925,0.9395230796177841,0.7025,0.5856
